Driver,Round,Avg_Speed,Max_Speed,Avg_Throttle,Brake_Pct,Avg_RPM,Brake_Zones,Brake_Time_Pct,Mean_Entry_Speed,Mean_Apex_Speed,Mean_Exit_Speed,Mean_Brake_Duration,Std_Brake_Duration,Mean_Peak_Decel,Max_Peak_Decel,Sector1_Ratio,Sector2_Ratio,Sector3_Ratio,Speed_Pct_10,Speed_Pct_20,Speed_Pct_30,Speed_Pct_40,Speed_Pct_50,Speed_Pct_60,Speed_Pct_70,Speed_Pct_80,Speed_Pct_90,Brake_First_Third,Brake_Mid_Third,Brake_Last_Third
ALO,9,228.73507462686567,322.0,76.76865671641791,14.17910447761194,10760.970149253732,6.0,18.547771407948257,261.0,138.33333333333334,138.33333333333334,2.2270000000000008,0.33253320636191075,-15.0,-15.0,1.0175925490380544,1.0104618614415677,1.0042435424354244,318.5,220.25806451612902,263.4761904761905,174.94285714285715,199.90322580645162,248.62962962962962,238.15384615384616,171.88888888888889,261.76,10.81081081081081,18.0,12.903225806451612
ANT,9,231.72527472527472,329.0,77.29304029304029,15.384615384615385,10937.783882783882,7.0,18.0929914434472,268.57142857142856,158.42857142857142,158.42857142857142,1.8517142857142872,0.676605332162112,-13.408289241622574,-15.0,1.4777741191965756,1.4154653603918825,,322.23809523809524,213.4516129032258,266.96153846153845,184.5,202.42424242424244,252.55,234.89285714285714,170.02702702702703,264.6363636363636,7.228915662650602,20.618556701030926,17.391304347826086
BEA,9,229.40510948905109,327.0,76.95985401459853,16.423357664233578,10707.57299270073,7.0,19.19966996699671,271.42857142857144,154.57142857142858,154.57142857142858,1.9945714285714295,0.4658073964765287,-13.683862433862402,-15.0,1.0191448327767063,1.0229531140657804,1.0226937269372693,323.95,215.68965517241378,268.625,177.52777777777777,199.73333333333332,246.80769230769232,237.3448275862069,164.34285714285716,258.04,9.210526315789473,15.686274509803921,23.157894736842106
BOR,9,229.50187265917603,329.0,76.78651685393258,14.606741573033707,10738.831460674157,6.0,18.653421633554085,267.0,133.33333333333334,133.33333333333334,2.2533333333333334,0.5177730090386006,-15.0,-15.0,1.013970553647867,1.018264520643807,1.019280442804428,324.57142857142856,213.5,271.4166666666667,212.53846153846155,183.85294117647058,214.08333333333334,288.0,154.46666666666667,258.36,7.59493670886076,15.384615384615385,19.791666666666664
COL,9,226.54744525547446,328.0,75.58394160583941,14.233576642335766,10642.069343065694,6.0,17.396061269146596,255.83333333333334,133.5,133.5,2.1199999999999988,0.39055516042338284,-15.0,-15.0,1.0239428006961757,1.0273268019594122,1.0242158671586714,304.7391304347826,209.13333333333333,262.17391304347825,174.27027027027026,203.06060606060606,250.77272727272728,210.84615384615384,168.85294117647058,262.96,10.843373493975903,16.0,15.555555555555555
GAS,9,229.88,326.0,78.6290909090909,14.545454545454545,10785.392727272727,6.0,18.997214484679663,265.6666666666667,138.66666666666666,138.66666666666666,2.273333333333333,0.4185011615542097,-15.0,-15.0,1.4115903852486005,1.420153953813856,,322.1764705882353,217.5,271.0,193.3548387096774,192.5625,237.10344827586206,249.15384615384616,159.55263157894737,257.44444444444446,9.090909090909092,17.0,16.49484536082474
HAD,9,231.41516245487364,322.0,78.65703971119133,14.440433212996389,10750.361010830326,6.0,18.6456902651184,266.3333333333333,140.33333333333334,140.33333333333334,2.239999999999999,0.47102724620415204,-15.0,-15.0,1.6038383743355753,1.2079076277116865,,319.22222222222223,217.56666666666666,271.88,215.82142857142858,183.91666666666666,233.31034482758622,267.6666666666667,158.85365853658536,258.1923076923077,7.5,18.0,16.666666666666664
HAM,9,232.6988847583643,327.0,78.56505576208178,15.241635687732341,10877.189591078068,7.0,18.194500634756757,270.7142857142857,158.0,158.0,1.8631428571428559,0.7294787627519538,-13.518518518518535,-15.0,1.4284303118679147,1.389118264520644,,323.22222222222223,222.57575757575756,270.04545454545456,182.4375,201.63333333333333,239.6,264.72727272727275,160.6315789473684,259.56,8.641975308641975,19.791666666666664,16.483516483516482
HUL,9,229.43333333333334,330.0,77.81481481481481,12.592592592592592,10737.462962962964,6.0,16.828399122807014,263.5,135.66666666666666,135.66666666666666,2.0463333333333327,0.3319842700423559,-15.0,-15.0,1.021355661131756,1.0210636808957312,1.0283671586715868,325.77777777777777,204.19230769230768,272.54545454545456,199.94285714285715,189.7058823529412,234.7826086956522,277.14285714285717,149.725,257.9259259259259,5.263157894736842,17.346938775510203,13.684210526315791
LAW,9,231.20075757575756,326.0,79.15151515151516,14.393939393939394,10711.613636363636,6.0,18.68798235942668,263.6666666666667,134.33333333333334,134.33333333333334,2.2600000000000002,0.45062918976323185,-15.0,-15.0,1.0204148831083306,1.0175997200839748,1.014160516605166,322.57142857142856,210.75,275.30434782608694,184.55263157894737,199.48275862068965,250.04,238.16666666666666,165.47222222222223,261.125,7.894736842105263,19.587628865979383,14.444444444444443
